Organization Name,Direct Cost,Indirect Cost,Funding
"13THERAPEUTICS, INC.",,,999411
"21ST CENTURY THERAPEUTICS, INC.",,,276418
"23ANDME, INC.",,,805975
"360FRESH, INC.",,,499892
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,149998
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,152398
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,737050
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,426446
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,554597
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,,,146853
"3D BIOMATRIX, INC.",,,34628
3D MOLECULAR DESIGNS,,,200542
"3DMD, LLC",,,318425
"3DT HOLDINGS, LLC",,,196237
"3DT HOLDINGS, LLC",,,269255
"3DT HOLDINGS, LLC",,,199756
"3P BIOTECHNOLOGIES, INC.",,,45061
"480 BIOMEDICAL, INC.",,,200000
"490 BIOTECH, INC.",,,138191
"A AND G PHARMACEUTICAL, INC.",49812,19925,69737
"A AND G PHARMACEUTICAL, INC.",,,199828
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,193405,15057,208462
"AADI, LLC",,,168928
"AARDEN PHARMACEUTICALS, INC.",,,249269
AARON DIAMOND AIDS RESEARCH CENTER,739137,182499,921636
AARON DIAMOND AIDS RESEARCH CENTER,1154364,436887,1591251
AARON DIAMOND AIDS RESEARCH CENTER,235000,202100,437100
AARON DIAMOND AIDS RESEARCH CENTER,176000,14080,190080
AARON DIAMOND AIDS RESEARCH CENTER,259058,90405,349463
AARON DIAMOND AIDS RESEARCH CENTER,529536,219222,748758
AARON DIAMOND AIDS RESEARCH CENTER,235000,185063,420063
AARON DIAMOND AIDS RESEARCH CENTER,499340,247408,746748
AARON DIAMOND AIDS RESEARCH CENTER,230324,190017,420341
AARON DIAMOND AIDS RESEARCH CENTER,480000,374400,854400
AARON DIAMOND AIDS RESEARCH CENTER,235000,186825,421825
AARON DIAMOND AIDS RESEARCH CENTER,235000,183770,418770
ABEOME CORPORATION,,,275916
"ABLELINK TECHNOLOGIES, INC.",142350,81140,223490
"ABLELINK TECHNOLOGIES, INC.",,,426556
"ABLELINK TECHNOLOGIES, INC.",,,266676
"AC DIAGNOSTICS, INC.",,,299995
ACADEMIC PEDIATRIC ASSOCIATION,132341,10587,142928
ACCEL DIAGNOSTICS,,,168846
"ACCELEREYES, LLC",,,499601
"ACCENTS ON HEALTH, INC.",,,474162
"ACCESSIBLE DESIGNS, INC.",,,477689
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",,,568564
"ACETYLON PHARMACEUTICALS, INC.",,,367972
"ACIONT, INC.",,,1073868
"ACKCO, INC.",,,547852
"ACLARIS MEDICAL, LLC",,,350000
"ACOUSTIC MEDSYSTEMS, INC.",,,177408
"ACPHARIS, INC.",,,149999
"ACTINOBAC BIOMED, INC.",,,108255
"ACTIVESITE PHARMACEUTICALS, INC.",,,699825
"ACTUATED MEDICAL, INC.",,,562961
"ACTUATED MEDICAL, INC.",,,212770
"ACTUATED MEDICAL, INC.",,,862710
"ACTUATED MEDICAL, INC.",,,1000000
"ACTUATED MEDICAL, INC.",,,902610
ACUITYBIO CORPORATION,,,235568
"ACUMEN, LLC",,,149554
"ACUMEN, LLC",,,321150
"ACUMEN, LLC",,,14996
"ADAMAS PHARMACEUTICALS, INC.",75662,52963,128625
ADAPTIVE TCR CORPORATION,,,951199
ADAPTIVE TCR CORPORATION,,,165191
ADAPTIVE TCR CORPORATION,,,266199
"ADARZA BIOSYSTEMS, INC.",,,245912
ADDIS ABABA UNIVERSITY,47619,2381,50000
ADDIS ABABA UNIVERSITY,250934,16094,267028
"ADDIS, INC.",,,818530
ADELPHI UNIVERSITY,150000,21716,171716
ADEPTRIX CORPORATION,,,349034
ADERA,1594971,120681,1715652
"ADHAERE PHARMACEUTICALS, INC.",,,300000
"ADHEREN, INC.",140414,46337,186751
"ADP SILVER DENTAL ARREST, LLC",,,117198
ADVAITA CORPORATION,,,148487
ADVAITA CORPORATION,,,727410
"ADVANCED BIODEVICES, LLC",327007,64349,391356
ADVANCED BIOMEDICAL INFORMATICS GROUP,,,215228
"ADVANCED BIOMEDICAL MACHINES, INC.",,,191250
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1685828
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,361047
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,125257
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,734103
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,625247
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,160797
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2066824
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,137283
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,474656
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,5140196
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2189062
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,192204
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2803254
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,90915
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1397939
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1136533
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,269544
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,9554988
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,2137425
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,64857
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,548157
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,662121
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,90915
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,176421
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,96443
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,956026
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,278866
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1676112
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,1844050
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,89448
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,3976501
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,3606737
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,70811
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,167808
"ADVANCED BIOSCIENCE LABORATORIES, INC.",,,90915
"ADVANCED CIRCULATORY SYSTEMS, INC.",,,299599
"ADVANCED DIAMOND TECHNOLOGIES, INC.",,,546125
"ADVANCED DIAMOND TECHNOLOGIES, INC.",,,249922
"ADVANCED GENETIC SYSTEMS, INC.",,,279588
"ADVANCED GENOMIC TECHNOLOGY, LLC",,,199666
"ADVANCED HEARING CONCEPTS, INC.",160465,83130,243595
ADVANCED LIQUID LOGIC,,,231608
ADVANCED LIQUID LOGIC,,,181049
ADVANCED LIQUID LOGIC,,,240201
ADVANCED LIQUID LOGIC,,,681273
ADVANCED LIQUID LOGIC,,,198668
ADVANCED LIQUID LOGIC,,,996744
"ADVANCED MATERIALS TECHNOLOGY, INC.",,,466399
"ADVANCED MATERIALS TECHNOLOGY, INC.",,,190714
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,223845
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,199765
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,161303
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,504575
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,219199
ADVANCED MEDICAL ELECTRONICS CORPORATION,,,186330
"ADVANCED MRI TECHNOLOGY, LLC",,,831977
"ADVANCED MRI TECHNOLOGY, LLC",,,400706
"ADVANCED PLASMA PRODUCTS, INC.",,,1111985
ADVANCES IN MINERAL METABOLISM,18000,0,18000
"ADVANTAGENE, INC",,,1806651
"ADVOCATES FOR HUMAN POTENTIAL, INC.",,,998276
"AEON IMAGING, LLC",,,66366
"AEON IMAGING, LLC",,,915234
"AEROSOL DYNAMICS, INC.",,,149758
"AFASCI, INC.",,,506122
"AFASCI, INC.",,,298119
"AFASCI, INC.",,,420399
"AFASCI, INC.",,,489244
"AFASCI, INC.",,,338884
"AFFINERGY, LLC",,,910092
"AFFINERGY, LLC",,,1025971
"AFFINERGY, LLC",,,900131
"AFFINERGY, LLC",,,731310
"AFFINITY THERAPEUTICS, LLC",,,199999
"AFRAME DIGITAL, INC.",,,450815
AFRICA UNIVERSITY,28000,2240,30240
AG BELL ASSN FOR DEAF & HARD OF HEARING,100,,100
AGA KHAN UNIVERSITY,225000,18000,241300
AGA KHAN UNIVERSITY,110424,8834,119258
AGAVE BIOSYSTEMS,,,150000
"AGENEBIO, INC.",400517,0,400517
"AGGAMIN PHARMACEUTICALS, LLC",,,245087
"AGILE SCIENCES, INC.",,,300000
"AGILE SCIENCES, INC.",,,499586
"AGILTRON, INC.",,,491030
"AGILTRON, INC.",,,246228
AGNES SCOTT COLLEGE,226751,82731,309482
"AGRI-ANALYSIS, LLC",,,225000
"AI CURE TECHNOLOGIES, LLC",,,895818
"AI CURE TECHNOLOGIES, LLC",,,997491
"AIRLIFT ENVIRONMENTAL, LLC",,,106840
"AKINA, INC.",,,325813
"AKONNI BIOSYSTEMS, INC.",,,399504
"AKTIV-DRY, LLC",,,447532
ALABAMA FIRE COLLEGE,543352,43468,586820
ALABAMA STATE UNIVERSITY,253141,20251,273392
ALABAMA STATE UNIVERSITY,82624,5452,88076
"ALAFAIR BIOSCIENCES, INC.",,,408513
ALASKA COMMUNITY ACTION ON TOXICS (ACAT),427479,29266,456745
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,111575,7042,118617
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,130500,15660,146160
ALBANY COLLEGE OF PHARMACY,214737,115958,330695
ALBANY COLLEGE OF PHARMACY,49308,27120,76428
ALBANY COLLEGE OF PHARMACY,300000,165000,465000
ALBANY COLLEGE OF PHARMACY,165515,89377,254892
ALBANY COLLEGE OF PHARMACY,228000,125400,353400
ALBANY MEDICAL COLLEGE,235620,136660,372280
ALBANY MEDICAL COLLEGE,235620,136660,372280
ALBANY MEDICAL COLLEGE,117500,68150,185650
ALBANY MEDICAL COLLEGE,238000,138040,376040
ALBANY MEDICAL COLLEGE,10000,0,10000
ALBANY MEDICAL COLLEGE,238000,138040,376040
ALBANY MEDICAL COLLEGE,117500,68150,185650
ALBANY MEDICAL COLLEGE,214200,124236,338436
ALBANY MEDICAL COLLEGE,212500,114625,327125
ALBANY MEDICAL COLLEGE,211306,122557,333863
ALBANY MEDICAL COLLEGE,50000,29000,79000
ALBANY MEDICAL COLLEGE,125121,58755,183876
ALBANY MEDICAL COLLEGE,1222840,669010,1891850
ALBANY MEDICAL COLLEGE,186293,108050,294343
ALBANY MEDICAL COLLEGE,235620,134303,369923
ALBANY MEDICAL COLLEGE,191595,95057,286652
ALBANY MEDICAL COLLEGE,1000,80,1080
ALBANY MEDICAL COLLEGE,146758,83652,230410
ALBANY MEDICAL COLLEGE,151359,87788,239147
ALBANY MEDICAL COLLEGE,55670,,55670
ALBANY MEDICAL COLLEGE,26232,,26232
ALBANY MEDICAL COLLEGE,54650,4372,35492
ALBANY MEDICAL COLLEGE,119875,9590,129465
ALBANY MEDICAL COLLEGE,357690,103872,461562
ALBANY MEDICAL COLLEGE,369626,214383,584009
ALBANY MEDICAL COLLEGE,127780,10222,138002
ALBANY MEDICAL COLLEGE,238000,138040,376040
ALBANY MEDICAL COLLEGE,235000,136300,371300
ALBANY MEDICAL COLLEGE,245824,78899,324723
ALBANY MEDICAL COLLEGE,175545,101816,277361
ALBANY MEDICAL COLLEGE,129819,75295,205114
"ALBANY MOLECULAR RESEARCH, INC.",,,4471578
"ALBANY RESEARCH INSTITUTE, INC.",216992,45512,262504
ALBANY STATE UNIVERSITY,888551,285179,828014
ALBANY STATE UNIVERSITY,263364,20226,283590
ALBANY STATE UNIVERSITY,318552,25484,344036
ALBERT EINSTEIN COLLEGE OF MEDICINE,4398959,2004552,6403511
ALBERT EINSTEIN COLLEGE OF MEDICINE,427547,264570,692117
ALBERT EINSTEIN COLLEGE OF MEDICINE,209888,140625,350513
ALBERT EINSTEIN COLLEGE OF MEDICINE,209888,140625,350513
ALBERT EINSTEIN COLLEGE OF MEDICINE,192737,114494,307231
ALBERT EINSTEIN COLLEGE OF MEDICINE,134413,90057,224470
ALBERT EINSTEIN COLLEGE OF MEDICINE,431100,288837,719937
ALBERT EINSTEIN COLLEGE OF MEDICINE,29116,,29116
ALBERT EINSTEIN COLLEGE OF MEDICINE,20713,13878,34591
ALBERT EINSTEIN COLLEGE OF MEDICINE,194638,10931,205569
ALBERT EINSTEIN COLLEGE OF MEDICINE,134296,10800,145096
ALBERT EINSTEIN COLLEGE OF MEDICINE,230145,154197,384342
ALBERT EINSTEIN COLLEGE OF MEDICINE,185268,124130,309398
ALBERT EINSTEIN COLLEGE OF MEDICINE,499266,162074,661340
ALBERT EINSTEIN COLLEGE OF MEDICINE,697268,460197,1157465
ALBERT EINSTEIN COLLEGE OF MEDICINE,125675,10054,135729
ALBERT EINSTEIN COLLEGE OF MEDICINE,272555,182612,455167
ALBERT EINSTEIN COLLEGE OF MEDICINE,201101,132727,333828
ALBERT EINSTEIN COLLEGE OF MEDICINE,125000,83750,208750
ALBERT EINSTEIN COLLEGE OF MEDICINE,124999,10000,134999
ALBERT EINSTEIN COLLEGE OF MEDICINE,188899,126562,315461
ALBERT EINSTEIN COLLEGE OF MEDICINE,174000,116580,290580
ALBERT EINSTEIN COLLEGE OF MEDICINE,315974,208543,524517
ALBERT EINSTEIN COLLEGE OF MEDICINE,195050,130684,325734
ALBERT EINSTEIN COLLEGE OF MEDICINE,1293959,317739,1611698
ALBERT EINSTEIN COLLEGE OF MEDICINE,42232,,42232
ALBERT EINSTEIN COLLEGE OF MEDICINE,170279,112384,282663
ALBERT EINSTEIN COLLEGE OF MEDICINE,30000,0,30000
ALBERT EINSTEIN COLLEGE OF MEDICINE,50000,33500,83500
ALBERT EINSTEIN COLLEGE OF MEDICINE,47232,,47232
ALBERT EINSTEIN COLLEGE OF MEDICINE,238000,159460,397460
ALBERT EINSTEIN COLLEGE OF MEDICINE,336295,225318,561613
ALBERT EINSTEIN COLLEGE OF MEDICINE,235000,155100,390100
ALBERT EINSTEIN COLLEGE OF MEDICINE,265000,177550,442550
ALBERT EINSTEIN COLLEGE OF MEDICINE,232650,153549,386199
ALBERT EINSTEIN COLLEGE OF MEDICINE,141750,94973,236723
ALBERT EINSTEIN COLLEGE OF MEDICINE,1252891,684140,1937031
ALBERT EINSTEIN COLLEGE OF MEDICINE,144000,96480,240480
ALBERT EINSTEIN COLLEGE OF MEDICINE,254238,143514,397752
ALBERT EINSTEIN COLLEGE OF MEDICINE,207618,100647,308265
ALBERT EINSTEIN COLLEGE OF MEDICINE,428783,287285,716068
ALBERT EINSTEIN COLLEGE OF MEDICINE,310803,158899,469702
ALBERT EINSTEIN COLLEGE OF MEDICINE,251524,155213,406737
ALBERT EINSTEIN COLLEGE OF MEDICINE,31302,,31302
ALBERT EINSTEIN COLLEGE OF MEDICINE,44910,30090,75000
ALBERT EINSTEIN COLLEGE OF MEDICINE,198617,133074,331691
ALBERT EINSTEIN COLLEGE OF MEDICINE,1356145,21330,1377475
ALBERT EINSTEIN COLLEGE OF MEDICINE,243459,160683,404142
ALBERT EINSTEIN COLLEGE OF MEDICINE,773726,510659,1284385
ALBERT EINSTEIN COLLEGE OF MEDICINE,186208,122897,309105
ALBERT EINSTEIN COLLEGE OF MEDICINE,235620,155509,391129
ALBERT EINSTEIN COLLEGE OF MEDICINE,717228,338711,1055939
ALBERT EINSTEIN COLLEGE OF MEDICINE,235000,157450,392450
ALBERT EINSTEIN COLLEGE OF MEDICINE,430772,284310,715082
ALBERT EINSTEIN COLLEGE OF MEDICINE,206872,136536,343408
ALBERT EINSTEIN COLLEGE OF MEDICINE,123850,9908,133758
ALBERT EINSTEIN COLLEGE OF MEDICINE,321348,23494,344842
ALBERT EINSTEIN COLLEGE OF MEDICINE,124225,9938,134163
ALBERT EINSTEIN COLLEGE OF MEDICINE,141000,94470,235470
ALBERT EINSTEIN COLLEGE OF MEDICINE,198451,132962,331413
ALBERT EINSTEIN COLLEGE OF MEDICINE,119000,79730,198730
ALBERT EINSTEIN COLLEGE OF MEDICINE,129995,10400,140395
ALBERT EINSTEIN COLLEGE OF MEDICINE,256690,171982,428672
ALBERT EINSTEIN COLLEGE OF MEDICINE,241276,149872,391148
ALBERT EINSTEIN COLLEGE OF MEDICINE,216112,17289,153536
ALBERT EINSTEIN COLLEGE OF MEDICINE,554726,135192,689918
ALBERT EINSTEIN COLLEGE OF MEDICINE,211094,127289,338383
ALBERT EINSTEIN COLLEGE OF MEDICINE,359210,240671,599881
ALBERT EINSTEIN COLLEGE OF MEDICINE,230324,152014,382338
ALBERT EINSTEIN COLLEGE OF MEDICINE,181517,119801,301318
ALBERT EINSTEIN COLLEGE OF MEDICINE,138000,80255,218255
ALBERT EINSTEIN COLLEGE OF MEDICINE,294765,194544,489309
ALBERT EINSTEIN COLLEGE OF MEDICINE,183350,122845,306195
ALBERT EINSTEIN COLLEGE OF MEDICINE,484500,144050,628550
ALBERT EINSTEIN COLLEGE OF MEDICINE,203000,136010,339010
ALBERT EINSTEIN COLLEGE OF MEDICINE,99097,66395,165492
ALBERT EINSTEIN COLLEGE OF MEDICINE,178320,117692,296012
ALBERT EINSTEIN COLLEGE OF MEDICINE,165515,109240,274755
ALBERT EINSTEIN COLLEGE OF MEDICINE,141000,94470,235470
ALBERT EINSTEIN COLLEGE OF MEDICINE,343466,219925,563391
ALBERT EINSTEIN COLLEGE OF MEDICINE,238000,159460,397460
ALBERT EINSTEIN COLLEGE OF MEDICINE,120000,80400,200400
ALBERT EINSTEIN COLLEGE OF MEDICINE,211500,141705,353205
ALBERT EINSTEIN COLLEGE OF MEDICINE,117662,9413,127075
ALBERT EINSTEIN COLLEGE OF MEDICINE,256322,169173,425495
ALBERT EINSTEIN COLLEGE OF MEDICINE,179701,118603,298304
ALBERT EINSTEIN COLLEGE OF MEDICINE,42232,,42232
ALBERT EINSTEIN COLLEGE OF MEDICINE,39166,,39166
ALBERT EINSTEIN COLLEGE OF MEDICINE,53942,,53942
ALBERT EINSTEIN COLLEGE OF MEDICINE,466352,102299,568651
ALBERT EINSTEIN COLLEGE OF MEDICINE,288500,193295,481795
ALBERT EINSTEIN COLLEGE OF MEDICINE,270550,171683,442233
ALBERT EINSTEIN COLLEGE OF MEDICINE,466994,268153,735147
ALBERT EINSTEIN COLLEGE OF MEDICINE,1882573,795096,2677669
ALBERT EINSTEIN COLLEGE OF MEDICINE,195050,130684,325734
ALBERT EINSTEIN COLLEGE OF MEDICINE,123475,9878,133353
ALBERT EINSTEIN COLLEGE OF MEDICINE,250000,167500,417500
ALBERT EINSTEIN COLLEGE OF MEDICINE,149102,99898,249000
ALBERT EINSTEIN COLLEGE OF MEDICINE,245100,15768,260868
ALBERT EINSTEIN COLLEGE OF MEDICINE,232650,153549,386199
ALBERT EINSTEIN COLLEGE OF MEDICINE,211094,141433,352527
ALBERT EINSTEIN COLLEGE OF MEDICINE,333200,186592,519792
ALBERT EINSTEIN COLLEGE OF MEDICINE,263214,176353,439567
ALBERT EINSTEIN COLLEGE OF MEDICINE,50000,33500,83500
ALBERT EINSTEIN COLLEGE OF MEDICINE,261491,175199,436690
ALBERT EINSTEIN COLLEGE OF MEDICINE,218093,133294,351387
ALBERT EINSTEIN COLLEGE OF MEDICINE,245983,162349,408332
ALBERT EINSTEIN COLLEGE OF MEDICINE,150000,100500,250500
ALBERT EINSTEIN COLLEGE OF MEDICINE,120625,80819,201444
ALBERT EINSTEIN COLLEGE OF MEDICINE,238000,159460,397460
ALBERT EINSTEIN COLLEGE OF MEDICINE,238000,157080,395080
ALBERT EINSTEIN COLLEGE OF MEDICINE,202934,133936,336870
ALBERT EINSTEIN COLLEGE OF MEDICINE,443866,246240,690106
ALBERT EINSTEIN COLLEGE OF MEDICINE,142675,11414,154089
ALBERT EINSTEIN COLLEGE OF MEDICINE,42232,,42232
ALBERT EINSTEIN COLLEGE OF MEDICINE,52190,,52190
ALBERT EINSTEIN COLLEGE OF MEDICINE,238000,159460,397460
ALBERT EINSTEIN COLLEGE OF MEDICINE,220500,147735,368235
ALBERT EINSTEIN COLLEGE OF MEDICINE,155282,12423,167705
ALBERT EINSTEIN COLLEGE OF MEDICINE,21132,14158,35290
ALBERT EINSTEIN COLLEGE OF MEDICINE,186208,122897,309105
ALBERT EINSTEIN COLLEGE OF MEDICINE,1253808,531248,1785056
ALBERT EINSTEIN COLLEGE OF MEDICINE,325483,166032,491515
ALBERT EINSTEIN COLLEGE OF MEDICINE,425009,255253,680262
ALBERT EINSTEIN COLLEGE OF MEDICINE,232650,153549,386199
ALBERT EINSTEIN COLLEGE OF MEDICINE,123537,82770,206307
ALBERT EINSTEIN COLLEGE OF MEDICINE,133518,89457,222975
ALBERT EINSTEIN COLLEGE OF MEDICINE,265899,178152,444051
ALBERT EINSTEIN COLLEGE OF MEDICINE,235000,157450,392450
ALBERT EINSTEIN COLLEGE OF MEDICINE,125125,10010,135135
ALBERT EINSTEIN COLLEGE OF MEDICINE,283219,187400,470619
ALBERT EINSTEIN COLLEGE OF MEDICINE,183350,122845,306195
ALBERT EINSTEIN COLLEGE OF MEDICINE,2149468,1440143,3589611
ALBERT EINSTEIN COLLEGE OF MEDICINE,39236,25895,65131
ALBERT EINSTEIN COLLEGE OF MEDICINE,169070,13526,182596
ALBERT EINSTEIN COLLEGE OF MEDICINE,214029,112388,326417
ALBERT EINSTEIN COLLEGE OF MEDICINE,183350,122845,306195
ALBERT EINSTEIN COLLEGE OF MEDICINE,28000,18760,46760
ALBERT EINSTEIN COLLEGE OF MEDICINE,365570,24206,372602
ALBERT EINSTEIN COLLEGE OF MEDICINE,263332,19787,283119
ALBERT EINSTEIN COLLEGE OF MEDICINE,209888,140625,350513
ALBERT EINSTEIN COLLEGE OF MEDICINE,311536,164727,476263
ALBERT EINSTEIN COLLEGE OF MEDICINE,271010,181577,452587
ALBERT EINSTEIN COLLEGE OF MEDICINE,607222,150654,757876
ALBERT EINSTEIN COLLEGE OF MEDICINE,206163,103179,309342
ALBERT EINSTEIN COLLEGE OF MEDICINE,147993,80637,228630
ALBERT EINSTEIN COLLEGE OF MEDICINE,236384,72700,309084
ALBERT EINSTEIN COLLEGE OF MEDICINE,538436,296287,834723
ALBERT EINSTEIN COLLEGE OF MEDICINE,138580,10954,149534
ALBERT EINSTEIN COLLEGE OF MEDICINE,174799,10888,185687
ALBERT EINSTEIN COLLEGE OF MEDICINE,179701,118603,298304
ALBERT EINSTEIN COLLEGE OF MEDICINE,189199,124871,314070
ALBERT EINSTEIN COLLEGE OF MEDICINE,387119,42211,429330
ALBERT EINSTEIN COLLEGE OF MEDICINE,344167,224306,568473
ALBERT EINSTEIN COLLEGE OF MEDICINE,184347,121669,306016
ALBERT EINSTEIN COLLEGE OF MEDICINE,118750,79563,198313
ALBERT EINSTEIN COLLEGE OF MEDICINE,226481,151742,378223
ALBERT EINSTEIN COLLEGE OF MEDICINE,324202,217215,541417
ALBERT EINSTEIN COLLEGE OF MEDICINE,50000,33500,83500
ALBERT EINSTEIN COLLEGE OF MEDICINE,498229,220545,718774
ALBERT EINSTEIN COLLEGE OF MEDICINE,227950,150447,378397
ALBERT EINSTEIN COLLEGE OF MEDICINE,234061,154480,388541
ALBERT EINSTEIN COLLEGE OF MEDICINE,207500,139025,346525
ALBERT EINSTEIN COLLEGE OF MEDICINE,144750,95535,240285
ALBERT EINSTEIN COLLEGE OF MEDICINE,120625,80819,201444
ALBERT EINSTEIN COLLEGE OF MEDICINE,149102,99898,249000
ALBERT EINSTEIN COLLEGE OF MEDICINE,125000,83750,208750
ALBERT EINSTEIN COLLEGE OF MEDICINE,1668940,288042,1956982
ALBERT EINSTEIN COLLEGE OF MEDICINE,274170,176286,450456
ALBERT EINSTEIN COLLEGE OF MEDICINE,260995,172256,433251
ALBERT EINSTEIN COLLEGE OF MEDICINE,289880,171583,461463
ALBERT EINSTEIN COLLEGE OF MEDICINE,436939,268472,705411
ALBERT EINSTEIN COLLEGE OF MEDICINE,198235,130835,329070
ALBERT EINSTEIN COLLEGE OF MEDICINE,340675,228252,568927
ALBERT EINSTEIN COLLEGE OF MEDICINE,220523,147750,368273
ALBERT EINSTEIN COLLEGE OF MEDICINE,231578,5922,237500
ALBERT EINSTEIN COLLEGE OF MEDICINE,250000,162140,412140
ALBERT EINSTEIN COLLEGE OF MEDICINE,94000,62040,156040
ALBERT EINSTEIN COLLEGE OF MEDICINE,313057,176210,489267
ALBERT EINSTEIN COLLEGE OF MEDICINE,123400,9552,132952
ALBERT EINSTEIN COLLEGE OF MEDICINE,197825,130565,328390
ALBERT EINSTEIN COLLEGE OF MEDICINE,412805,274050,686855
ALBERT EINSTEIN COLLEGE OF MEDICINE,61134,,61134
ALBERT EINSTEIN COLLEGE OF MEDICINE,54871,,54871
ALBERT EINSTEIN COLLEGE OF MEDICINE,312737,206406,519143
ALBERT EINSTEIN COLLEGE OF MEDICINE,191250,128138,319388
ALBERT EINSTEIN COLLEGE OF MEDICINE,251614,81929,333543
ALBERT EINSTEIN COLLEGE OF MEDICINE,250000,154100,404100
ALBERT EINSTEIN COLLEGE OF MEDICINE,144000,63994,207994
ALBERT EINSTEIN COLLEGE OF MEDICINE,243843,163375,407218
ALBERT EINSTEIN COLLEGE OF MEDICINE,250000,167500,417500
ALBERT EINSTEIN COLLEGE OF MEDICINE,409041,269967,679008
ALBERT EINSTEIN COLLEGE OF MEDICINE,217244,73477,290721
ALBERT EINSTEIN COLLEGE OF MEDICINE,156200,97954,254154
ALBERT EINSTEIN COLLEGE OF MEDICINE,213750,143213,356963
ALBERT EINSTEIN COLLEGE OF MEDICINE,168605,13488,182093
ALBERT EINSTEIN COLLEGE OF MEDICINE,641246,429635,1070881
ALBERT EINSTEIN COLLEGE OF MEDICINE,195415,128974,324389
ALBERT EINSTEIN COLLEGE OF MEDICINE,123850,9788,133638
ALBERT EINSTEIN COLLEGE OF MEDICINE,235000,155100,390100
ALBERT EINSTEIN COLLEGE OF MEDICINE,192052,126755,318807
ALBERT EINSTEIN COLLEGE OF MEDICINE,223567,147554,371121
ALBERT EINSTEIN COLLEGE OF MEDICINE,217125,145474,362599
ALBERT EINSTEIN COLLEGE OF MEDICINE,1594889,1012198,2607087
ALBERT EINSTEIN COLLEGE OF MEDICINE,47232,,47232
ALBERT EINSTEIN COLLEGE OF MEDICINE,193725,127859,321584
ALBERT EINSTEIN COLLEGE OF MEDICINE,256872,172104,428976
ALBERT EINSTEIN COLLEGE OF MEDICINE,47232,,47232
ALBERT EINSTEIN COLLEGE OF MEDICINE,266198,175689,441887
ALBERT EINSTEIN COLLEGE OF MEDICINE,53942,,53942
ALBERT EINSTEIN COLLEGE OF MEDICINE,327556,219463,547019
ALBERT EINSTEIN COLLEGE OF MEDICINE,181517,119801,301318
ALBERT EINSTEIN COLLEGE OF MEDICINE,226658,111458,338116
ALBERT EINSTEIN COLLEGE OF MEDICINE,372068,184265,556333
ALBERT EINSTEIN COLLEGE OF MEDICINE,135253,10820,146073
ALBERT EINSTEIN COLLEGE OF MEDICINE,123850,9908,133758
ALBERT EINSTEIN COLLEGE OF MEDICINE,150000,100500,250500
ALBERT EINSTEIN COLLEGE OF MEDICINE,242403,7593,249996
ALBERT EINSTEIN COLLEGE OF MEDICINE,249731,167320,417051
