Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
CALIFORNIA PACIFIC MED CTR RES INSTITUTE,SAN FRANCISCO,CALIFORNIA,75,75,Hosp
NEW ENGLAND COLLEGE OF OPTOMETRY,BOSTON,MASSACHUSETTS,75,75,Higher Ed
AMERICAN LEGACY FOUNDATION,WASHINGTON,DIST OF COL,75,75,NP res inst
"MASONIC MEDICAL RESEARCH LABORATORY, INC",UTICA,NEW YORK,75,75,NP res inst
MOLECULAR SCIENCES INSTITUTE,BERKELEY,CALIFORNIA,75,75,NP res inst
"MORGRIDGE INSTITUTE FOR RESEARCH, INC.",MADISON,WISCONSIN,75,75,NP res inst
UNIVERSIDAD METROPOLITANA,SAN JUAN,PUERTO RICO,70,75,Higher Ed
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,SAN DIEGO,CALIFORNIA,72.9,75,NP res inst
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WASHINGTON,70.7,74.7,NP res inst
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MASSACHUSETTS,74,74,Hosp
COLLEGE AT ONEONTA,ALBANY,NEW YORK,74,74,Higher Ed
HEBREW UNIVERSITY OF JERUSALEM,JERUSALEM,ISRAEL,74,74,Higher Ed
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MASSACHUSETTS,75,74,Hosp
"BROAD INSTITUTE, INC.",CAMBRIDGE,MASSACHUSETTS,69.5,73,NP res inst
COLLEGE AT OLD WESTBURY,OLD WESTBURY,NEW YORK,73,73,Higher Ed
TORREY PINES INST FOR MOLECULAR STUDIES,Port St. Lucie,FLORIDA,73,73,NP res inst
CHILDREN'S NATIONAL MEDICAL CENTER,WASHINGTON,DIST OF COL,72,72,Hosp
CHILDREN'S RESEARCH INSTITUTE,WASHINGTON,DIST OF COL,72,72,NP res inst
JOHN WAYNE CANCER INSTITUTE,SANTA MONICA,CALIFORNIA,72,72,NP res inst
MC LAUGHLIN RESEARCH INSTITUTE,GREAT FALLS,MONTANA,72,72,NP res inst
POMONA COLLEGE,CLAREMONT,CALIFORNIA,72,72,Higher Ed
ERNEST GALLO CLINIC AND RESEARCH CENTER,EMERYVILLE,CALIFORNIA,71.9,71.9,NP res inst
ROGER WILLIAMS HOSPITAL,PROVIDENCE,RHODE ISLAND,71,70.3,Hosp
ASSUMPTION COLLEGE,WORCESTER,MASSACHUSETTS,70,70,Higher Ed
CHILDREN'S HOSPITAL OF ORANGE COUNTY,ORANGE,CALIFORNIA,70,70,Hosp
NEW YORK INST OF TECHNOLOGY,OLD WESTBURY,NEW YORK,70,70,Higher Ed
QUEEN'S MEDICAL CENTER,HONOLULU,HAWAII,70,70,Hosp
UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,70,70,Higher Ed
VASSAR COLLEGE,POUGHKEEPSIE,NEW YORK,70,70,Higher Ed
YORK COLLEGE,JAMAICA,NEW YORK,70,70,Higher Ed
JOHN JAY COLLEGE OF CRIMINAL JUSTICE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
MOUNT SINAI SCHOOL OF MEDICINE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
ROCKEFELLER UNIVERSITY,NEW YORK,NEW YORK,69.5,69.5,Higher Ed
NEW YORK BLOOD CENTER,NEW YORK,NEW YORK,71,69.3,NP res inst
COLUMBIA UNIVERSITY TEACHERS COLLEGE,NEW YORK,NEW YORK,69.1,69.1,Higher Ed
BOSTON MEDICAL CENTER,BOSTON,MASSACHUSETTS,69,69,Hosp
BERNARD M. BARUCH COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed
HARVARD UNIVERSITY,CAMBRIDGE,MASSACHUSETTS,69,69,Higher Ed
HARVARD UNIVERSITY (MEDICAL SCHOOL),BOSTON,MASSACHUSETTS,69,69,Higher Ed
KEAN UNIVERSITY,UNION,NEW JERSEY,69,69,Higher Ed
MEDGAR EVERS COLLEGE,NEW YORK,NEW YORK,69,69,Higher Ed
