Organization Name,ORG_CITY,ORG_STATE/ORG_COUNTRY,FY12,FY13,Institution type
ELIZABETH CITY STATE UNIVERSITY,ELIZABETH CITY,NORTH CAROLINA,55,55,Higher Ed
GEORGETOWN UNIVERSITY,WASHINGTON,DIST OF COL,55,55,Higher Ed
INFECTIOUS DISEASE RESEARCH INSTITUTE,SEATTLE,WASHINGTON,55,55,NP res inst
LINCOLN UNIVERSITY,LINCOLN UNIVERSITY,PENNSYLVANIA,55,55,Higher Ed
MEDICAL TECHNOLOGY AND PRACTICE PATTERNS,BETHESDA,MARYLAND,55,55,NP res inst
MONTGOMERY COLLEGE,ROCKVILLE,MARYLAND,55,55,Higher Ed
NORTHEASTERN ILLINOIS UNIVERSITY,CHICAGO,ILLINOIS,55,55,Higher Ed
QUEENS COLLEGE,FLUSHING,NEW YORK,55,55,Higher Ed
SHAW UNIVERSITY,RALEIGH,NORTH CAROLINA,55,55,Higher Ed
THOMAS JEFFERSON UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,55,55,Higher Ed
"UNIVERSITY OF CALIFORNIA, MERCED",MERCED,CALIFORNIA,55,55,Higher Ed
UNIVERSITY OF MARYLAND EASTERN SHORE,PRINCESS ANNE,MARYLAND,55,55,Higher Ed
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,PEMBROKE,NORTH CAROLINA,55,55,Higher Ed
UNIVERSITY OF TENNESSEE SPACE INSTITUTE,TULLAHOMA,TENNESSEE,55,55,Higher Ed
NEUROPSYCHIATRIC RESEARCH INSTITUTE,FARGO,NORTH DAKOTA,54.6,54.6,NP res inst
UNIVERSITY OF WASHINGTON,SEATTLE,WASHINGTON,54,54.5,Higher Ed
DREXEL UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,54.5,54.5,Higher Ed
LUDWIG INSTITUTE  FOR CANCER RES  LTD,LA JOLLA,CALIFORNIA,54.5,54.5,NP res inst
NORTHWESTERN UNIVERSITY,EVANSTON,ILLINOIS,54.5,54.5,Higher Ed
NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,ILLINOIS,54.5,54.5,Higher Ed
ROSALIND FRANKLIN UNIV OF MEDICINE & SCI,NORTH CHICAGO,ILLINOIS,54.5,54.5,Higher Ed
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CALIFORNIA,54.5,54.5,Higher Ed
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,GALVESTON,TEXAS,53,54.5,Higher Ed
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RHODE ISLAND,54,54,NP res inst
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VIRGINIA,54,54,NP res inst
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VIRGINIA,54,54,NP res inst
AGNES SCOTT COLLEGE,DECATUR,GEORGIA,54,54,Higher Ed
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,TEMPE,ARIZONA,54,54,Higher Ed
"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DELAWARE,54,54,Hosp
HEALTHPARTNERS INSTITUTE,MINNEAPOLIS,MINNESOTA,54,54,NP res inst
HELEN HAYES HOSPITAL,Menands,NEW YORK,50.7,54,Hosp
NATIONAL REHABILITATION HOSPITAL,WASHINGTON,DIST OF COL,54,54,Hosp
PROVIDENCE PORTLAND MEDICAL CENTER,PORTLAND,OREGON,54,54,Hosp
OREGON HEALTH & SCIENCE UNIVERSITY,PORTLAND,OREGON,54,54,Higher Ed
PURDUE UNIVERSITY WEST LAFAYETTE,WEST LAFAYETTE,INDIANA,54,54,Higher Ed
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK,NEW BRUNSWICK,NEW JERSEY,54,54,Higher Ed
SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CALIFORNIA,53.5,54,Higher Ed
STATE UNIVERSITY NEW YORK BINGHAMTON,BINGHAMTON,NEW YORK,53,54,Higher Ed
TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TEXAS,54,54,Higher Ed
UNIVERSITY OF CALIFORNIA DAVIS,DAVIS,CALIFORNIA,53.5,54,Higher Ed
UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CALIFORNIA,54,54,Higher Ed
UNIVERSITY OF COLORADO DENVER,AURORA,COLORADO,53,54,Higher Ed
UNIVERSITY OF CONNECTICUT HEALTH SCIENCE CENTER,FARMINGTON,CONNECTICUT,54,54,Higher Ed
"UNIVERSITY OF TEXAS, AUSTIN",AUSTIN,TEXAS,54,54,Higher Ed
MICHIGAN STATE UNIVERSITY,EAST LANSING,MICHIGAN,53.5,53.5,Higher Ed
TUFTS UNIVERSITY MEDFORD,MEDFORD,MASSACHUSETTS,53.5,53.5,Higher Ed
UNIVERSITY OF CALIFORNIA IRVINE,IRVINE,CALIFORNIA,53,53.5,Higher Ed
UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,MARYLAND,53.5,53.5,Higher Ed
UNIVERSITY OF RHODE ISLAND,KINGSTON,RHODE ISLAND,52,53.5,Higher Ed
UNIVERSITY OF ROCHESTER,ROCHESTER,NEW YORK,54.5,53.5,Higher Ed
"GENETIC ALLIANCE, INC.",WASHINGTON,DIST OF COL,53.4,53.4,NP res inst
NORTHERN CALIFORNIA INSTITUTE/RES/EDU,SAN FRANCISCO,CALIFORNIA,53.3,53.3,NP res inst
CHILDREN'S HOSPITAL MEDICAL CENTER CINCI,CINCINNATI,OHIO,53,53,Hosp
CITY COLLEGE OF NEW YORK,NEW YORK,NEW YORK,53,53,Higher Ed
COLBY COLLEGE,WATERVILLE,MAINE,53,53,Higher Ed
GONZAGA UNIVERSITY,SPOKANE,WASHINGTON,53,53,Higher Ed
HUNTER COLLEGE,NEW YORK,NEW YORK,53,53,Higher Ed
MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WISCONSIN,53,53,Higher Ed
QUEENSBOROUGH COMMUNITY COLLEGE,NEW YORK,NEW YORK,53,53,Higher Ed
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,ILLINOIS,53,53,Higher Ed
TEMPLE UNIV OF THE COMMONWEALTH,PHILADELPHIA,PENNSYLVANIA,53,53,Higher Ed
UNIVERSITY OF CALIFORNIA SANTA BARBARA,SANTA BARBARA,CALIFORNIA,51.5,53,Higher Ed
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,MIAMI,FLORIDA,53,53,Higher Ed
UNIVERSITY OF RICHMOND,RICHMOND,VIRGINIA,53,53,Higher Ed
VIRGINIA STATE UNIVERSITY,PETERSBURG,VIRGINIA,53,53,Higher Ed
"JAEB CENTER FOR HEALTH RESEARCH, INC.",TAMPA,FLORIDA,52.8,52.8,NP res inst
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PENNSYLVANIA,51.5,52.5,Higher Ed
OHIO STATE UNIVERSITY,COLUMBUS,OHIO,52.5,52.5,Higher Ed
ST. VINCENT HOSPITAL,GREEN BAY,WISCONSIN,52.5,52.5,Hosp
SMITH COLLEGE,NORTHAMPTON,MASSACHUSETTS,52.5,52.5,Higher Ed
UNIVERSITY OF COLORADO,BOULDER,COLORADO,52.5,52.5,Higher Ed
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MASSACHUSETTS,52.5,52.5,Higher Ed
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MASSACHUSETTS,52.5,52.5,Higher Ed
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VERMONT,52.5,52.5,Higher Ed
MOUNT SINAI MEDICAL CENTER (MIAMI BEACH),MIAMI BEACH,FLORIDA,52.1,52.1,Hosp
UNIV OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NORTH CAROLINA,48,52,Higher Ed
"CLARK UNIVERSITY (WORCESTER, MA)",WORCESTER,MASSACHUSETTS,52,52,Higher Ed
CUYAHOGA COMMUNITY COLLEGE,CLEVELAND,OHIO,52,52,Higher Ed
HUDSON-ALPHA INSTITUTE FOR BIOTECHNOLOGY,HUNTSVILLE,ALABAMA,52,52,NP res inst
IIT RESEARCH INSTITUTE,CHICAGO,ILLINOIS,51,52,NP res inst
ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,ILLINOIS,51,52,Higher Ed
NEW JERSEY INSTITUTE OF TECHNOLOGY,NEWARK,NEW JERSEY,53,52,Higher Ed
STATE UNIVERSITY OF NEW YORK AT ALBANY,ALBANY,NEW YORK,52,52,Higher Ed
UNIVERSITY OF CALIFORNIA RIVERSIDE,RIVERSIDE,CALIFORNIA,52,52,Higher Ed
UNIVERSITY OF CALIFORNIA SANTA CRUZ,SANTA CRUZ,CALIFORNIA,51.5,52,Higher Ed
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS,COLLEGE PARK,MARYLAND,52,52,Higher Ed
UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MINNESOTA,52,52,Higher Ed
UNIVERSITY OF NOTRE DAME,NOTRE DAME,INDIANA,52,52,Higher Ed
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TEXAS,52,52,Higher Ed
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VIRGINIA,49.5,52,Higher Ed
WASHINGTON UNIVERSITY,SAINT LOUIS,MISSOURI,52,52,Higher Ed
WAYNE STATE UNIVERSITY,DETROIT,MICHIGAN,52,52,Higher Ed
DOHENY EYE INSTITUTE,LOS ANGELES,CALIFORNIA,58.8,51.8,NP res inst
"INTERNET SOLUTIONS FOR KIDS, INC.",SAN CLEMENTE,CALIFORNIA,51.6,51.6,NP res inst
NORTHEAST OHIO MEDICAL UNIVERSITY,ROOTSTOWN,OHIO,54,51.6,Higher Ed
CENTRAL WASHINGTON UNIVERSITY,ELLENSBURG,WASHINGTON,49.5,51.5,Higher Ed
NORTH CAROLINA STATE UNIVERSITY RALEIGH,RALEIGH,NORTH CAROLINA,49,51.5,Higher Ed
PACIFIC INSTITUTE FOR RES AND EVALUATION,Beltsville,MARYLAND,51.5,51.5,NP res inst
PACIFIC INSTITUTE FOR RES AND EVALUATION,Beltsville,MARYLAND,51.5,51.5,NP res inst
UNIVERSITY OF ARIZONA,TUCSON,ARIZONA,51.5,51.5,Higher Ed
UNIVERSITY OF MISSOURI-COLUMBIA,Columbia,MISSOURI,51.5,51.5,Other
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MISSOURI,51.5,51.5,Higher Ed
UNIVERSITY OF TEXAS ARLINGTON,ARLINGTON,TEXAS,51.5,51.5,Higher Ed
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,TOLEDO,OHIO,50,51.5,Higher Ed
WESTERN WASHINGTON UNIVERSITY,BELLINGHAM,WASHINGTON,51.4,51.4,Higher Ed
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FLORIDA,47,51.3,Higher Ed
NEW YORK EYE AND EAR INFIRMARY,NEW YORK,NEW YORK,51.1,51.1,Hosp
LOYOLA UNIVERSITY CHICAGO,MAYWOOD,ILLINOIS,49.5,51,Higher Ed
NATIONAL OPINION RESEARCH CENTER,CHICAGO,ILLINOIS,50.3,51,NP res inst
SILENT SPRING INSTITUTE,NEWTON,MASSACHUSETTS,51,51,NP res inst
SPECTRUM HEALTH HOSPITALS,GRAND RAPIDS,MICHIGAN,51,51,NP res inst
TEXAS SOUTHERN UNIVERSITY,HOUSTON,TEXAS,51,51,Higher Ed
UNIVERSITY OF IOWA,IOWA CITY,IOWA,51,51,Higher Ed
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KANSAS,51,51,Higher Ed
UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MASSACHUSETTS,51,51,Higher Ed
UNIVERSITY OF MISSOURI-ST. LOUIS,SAINT LOUIS,MISSOURI,51,51,Higher Ed
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NEW MEXICO,51,51,Higher Ed
UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OKLAHOMA,51,51,Higher Ed
VISITING NURSE SERVICE OF NEW YORK,NEW YORK,NEW YORK,51,51,NP res inst
WASHINGTON STATE UNIVERSITY,PULLMAN,WASHINGTON,50,51,Higher Ed
WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MICHIGAN,51,51,NP res inst
MARQUETTE UNIVERSITY,MILWAUKEE,WISCONSIN,50.5,50.5,Higher Ed
TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,LUBBOCK,TEXAS,49.5,50.5,Higher Ed
TULANE UNIVERSITY OF LOUISIANA,NEW ORLEANS,LOUISIANA,50.5,50.5,Higher Ed
UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NEBRASKA,49,50.5,Higher Ed
UNIVERSITY OF TEXAS EL PASO,EL PASO,TEXAS,50,50.5,Higher Ed
UNIVERSITY OF WISCONSIN-MADISON,MADISON,WISCONSIN,50.5,50.5,Higher Ed
ORTHOPAEDIC HOSPITAL,LOS ANGELES,CALIFORNIA,50.3,50.3,Hosp
"BALTIMORE CITY HEALTHY START, INC.",BALTIMORE,MARYLAND,50,50,NP res inst
BARRY UNIVERSITY,MIAMI SHORES,FLORIDA,50,50,Higher Ed
BRIGHAM YOUNG UNIVERSITY,PROVO,UTAH,50,50,Higher Ed
ESSENTIA INSTITUTE OF RURAL HEALTH,DULUTH,MINNESOTA,50,50,NP res inst
"GLOBAL VACCINES, INC.",RESEARCH TRIANGLE PARK,NORTH CAROLINA,50,50,NP res inst
GEORGIA  HEALTH SCIENCES UNIVERSITY,AUGUSTA,GEORGIA,49,50,Higher Ed
HAWAII PACIFIC UNIVERSITY,HONOLULU,HAWAII,50,50,Higher Ed
HOPE COLLEGE,HOLLAND,MICHIGAN,50,50,Higher Ed
IOWA STATE UNIVERSITY,AMES,IOWA,48,50,Higher Ed
KANSAS STATE UNIVERSITY,MANHATTAN,KANSAS,48,50,Higher Ed
MARSHFIELD CLINIC RESEARCH FOUNDATION,MARSHFIELD,WISCONSIN,50,50,NP res inst
SAINT LOUIS UNIVERSITY,SAINT LOUIS,MISSOURI,50,50,Higher Ed
UNIV/TEXAS BROWNSVILLE & SOUTHMOST COLL,BROWNSVILLE,TEXAS,50,50,Higher Ed
UNIVERSITY OF AKRON,AKRON,OHIO,50,50,Higher Ed
UNIVERSITY OF HOUSTON,HOUSTON,TEXAS,49.5,50,Higher Ed
UNIVERSITY OF LOUISVILLE RES FDN,LOUISVILLE,KENTUCKY,50,50,Higher Ed
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,MIAMI,FLORIDA,50,50,Higher Ed
UNIVERSITY OF MISSOURI KANSAS CITY,KANSAS CITY,MISSOURI,50,50,Higher Ed
UNIVERSITY OF PUERTO RICO MAYAGUEZ,MAYAGUEZ,PUERTO RICO,49,50,Higher Ed
UNIVERSITY OF PUERTO RICO MED SCIENCES,SAN JUAN,PUERTO RICO,49,50,Higher Ed
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,MEMPHIS,TENNESSEE,49.5,50,Higher Ed
UNIVERSITY OF UTAH,SALT LAKE CITY,UTAH,50,50,Higher Ed
VALDOSTA STATE UNIVERSITY,VALDOSTA,GEORGIA,50,50,Higher Ed
"CHILDREN'S MERCY HOSP (KANSAS CITY, MO)",KANSAS CITY,MISSOURI,49.5,49.5,Hosp
CLEMSON UNIVERSITY,CLEMSON,SOUTH CAROLINA,48.5,49.5,Higher Ed
JACKSON STATE UNIVERSITY,JACKSON,MISSISSIPPI,44,49.5,Higher Ed
SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CALIFORNIA,49.5,49.5,Higher Ed
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MISSISSIPPI,49.5,49.5,Higher Ed
UNIVERSITY OF SOUTH FLORIDA,TAMPA,FLORIDA,49,49.5,Higher Ed
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,SAN ANTONIO,TEXAS,48.5,49.5,Higher Ed
UNIVERSITY OF WISCONSIN MILWAUKEE,MILWAUKEE,WISCONSIN,47.7,49.5,Higher Ed
HUNTINGTON MEDICAL RESEARCH INSTITUTES,PASADENA,CALIFORNIA,49.3,49.3,NP res inst
WINTHROP-UNIVERSITY HOSPITAL,MINEOLA,NEW YORK,49.3,49.3,Hosp
UNIVERSITY OF PENNSYLVANIA,Lock Haven,PENNSYLVANIA,49.1,49.1,Other
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,ARKANSAS,48,49,NP res inst
CANCER PREVENTION INSTIT OF CALIFORNIA,FREMONT,CALIFORNIA,47,49,NP res inst
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SOUTH CAROLINA,47.5,49,Higher Ed
NATIONAL COLLEGE OF NATURAL MEDICINE,PORTLAND,OREGON,49,49,NP res inst
MIDWESTERN UNIVERSITY,DOWNERS GROVE,ILLINOIS,49,49,Higher Ed
NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,ARIZONA,49,49,Higher Ed
UNIVERSITY OF FLORIDA,GAINESVILLE,FLORIDA,46.5,49,Higher Ed
UNIVERSITY OF KANSAS LAWRENCE,LAWRENCE,KANSAS,47,49,Higher Ed
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,SAN JUAN,PUERTO RICO,48,49,Higher Ed
UNIVERSITY OF TENNESSEE KNOXVILLE,KNOXVILLE,TENNESSEE,49,49,Higher Ed
WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MICHIGAN,49,49,Higher Ed
MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,INDIANA,48.9,48.9,Hosp
FATHER FLANAGAN'S BOYS' HOME,BOYS TOWN,NEBRASKA,48.8,48.8,NP res inst
CALVIN COLLEGE,GRAND RAPIDS,MICHIGAN,48.7,48.7,Higher Ed
COLORADO STATE UNIVERSITY,FORT COLLINS,COLORADO,48,48.5,Higher Ed
FLORIDA ATLANTIC UNIVERSITY,BOCA RATON,FLORIDA,44.5,48.5,Higher Ed
HENRY FORD HEALTH SYSTEM,DETROIT,MICHIGAN,46.5,48.5,Hosp
MEMORIAL HOSPITAL OF RHODE ISLAND,PAWTUCKET,RHODE ISLAND,52,48.5,Hosp
MORGAN STATE UNIVERSITY,BALTIMORE,MARYLAND,48.5,48.5,Higher Ed
OHIO UNIVERSITY ATHENS,ATHENS,OHIO,47.5,48.5,Higher Ed
TEXAS STATE UNIVERSITY-SAN MARCOS,SAN MARCOS,TEXAS,48.5,48.5,Higher Ed
UNIVERSITY OF GEORGIA,ATHENS,GEORGIA,48.5,48.5,Higher Ed
UNIVERSITY OF KENTUCKY,LEXINGTON,KENTUCKY,48.5,48.5,Higher Ed
UNIVERSITY OF MIAMI CORAL GABLES,CORAL GABLES,FLORIDA,48.5,48.5,Higher Ed
UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NEBRASKA,49,48.5,Higher Ed
UNIVERSITY OF NORTH CAROLINA CHARLOTTE,CHARLOTTE,NORTH CAROLINA,48.5,48.5,Higher Ed
UNIVERSITY OF SOUTH ALABAMA,MOBILE,ALABAMA,48.5,48.5,Higher Ed
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,PROVIDENCE,RHODE ISLAND,47,48.5,Hosp
SCIENTIFIC ANALYSIS CORPORATION,SAN FRANCISCO,CALIFORNIA,48.2,48.2,NP res inst
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MASSACHUSETTS,48,48,Hosp
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,ALABAMA,47.5,48,Higher Ed
CALIFORNIA STATE UNIVERSITY SAN MARCOS,SAN MARCOS,CALIFORNIA,48,48,Higher Ed
HAMPTON UNIVERSITY,HAMPTON,VIRGINIA,48,48,Higher Ed
HOWARD UNIVERSITY,WASHINGTON,DIST OF COL,48,48,Higher Ed
LOUISIANA STATE UNIV A&M COL BATON ROUGE,BATON ROUGE,LOUISIANA,48,48,Higher Ed
LOUISIANA TECH UNIVERSITY,RUSTON,LOUISIANA,48,48,Higher Ed
"OREGON SOCIAL LEARNING CENTER, INC.",EUGENE,OREGON,48,48,NP res inst
OAKLAND UNIVERSITY,ROCHESTER,MICHIGAN,48,48,Higher Ed
SYRACUSE UNIVERSITY,SYRACUSE,NEW YORK,47,48,Higher Ed
UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,ALABAMA,48,48,Higher Ed
UNIVERSITY OF MARYLAND BALT CO CAMPUS,BALTIMORE,MARYLAND,48,48,Higher Ed
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OKLAHOMA,48,48,Higher Ed
UNIVERSITY OF THE DISTRICT OF COLUMBIA,WASHINGTON,DIST OF COL,48,48,Higher Ed
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NORTH CAROLINA,48,48,Higher Ed
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WEST VIRGINIA,48,48,Higher Ed
GEORGIA STATE UNIVERSITY,ATLANTA,GEORGIA,44.5,47.5,Higher Ed
PRAIRIE VIEW AGRI & MECH UNIVERSITY,PRAIRIE VIEW,TEXAS,46,47.5,Higher Ed
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,CARBONDALE,ILLINOIS,47.5,47.5,Higher Ed
UNIVERSITY OF ARKANSAS AT LITTLE ROCK,LITTLE ROCK,ARKANSAS,47,47.5,Higher Ed
UNIVERSITY OF TOLEDO,TOLEDO,OHIO,46,47.5,Higher Ed
KENT STATE UNIVERSITY AT KENT,KENT,OHIO,47.2,47.2,Higher Ed
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PENNSYLVANIA,47,47,NP res inst
CHILDREN'S HOSP PITTSBURGH/UPMC HLTH SYS,PITTSBURGH,PENNSYLVANIA,47,47,Hosp
LURIE CHILDREN'S HOSPITAL OF CHICAGO,CHICAGO,ILLINOIS,47,47,Hosp
EAST CAROLINA UNIVERSITY,GREENVILLE,NORTH CAROLINA,44.5,47,Higher Ed
GRAMBLING STATE UNIVERSITY,GRAMBLING,LOUISIANA,47,47,Higher Ed
JAMES MADISON UNIVERSITY,HARRISONBURG,VIRGINIA,47,47,Higher Ed
NORTHERN ILLINOIS UNIVERSITY,DE KALB,ILLINOIS,47,47,Higher Ed
SACRED HEART MEDICAL CENTER,SPOKANE,WASHINGTON,47,47,Hosp
S. U. N. Y. COLLEGE AT BUFFALO ,BUFFALO,NEW YORK,47,47,Higher Ed
SOUTHERN METHODIST UNIVERSITY,DALLAS,TEXAS,46.5,47,Higher Ed
TUSKEGEE UNIVERSITY,TUSKEGEE,ALABAMA,47,47,Higher Ed
UNIVERSITY OF ALABAMA IN TUSCALOOSA,TUSCALOOSA,ALABAMA,46,47,Higher Ed
UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NEW HAMPSHIRE,46.5,47,Higher Ed
UNIVERSITY OF NORTH TEXAS,DENTON,TEXAS,47,47,Higher Ed
UNIVERSITY OF TEXAS DALLAS,RICHARDSON,TEXAS,47,47,Higher Ed
UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TEXAS,47,47,Higher Ed
UNIVERSITY OF WISCONSIN WHITEWATER,WHITEWATER,WISCONSIN,46,47,Higher Ed
NATIONAL CHILDHOOD CANCER FOUNDATION,ARCADIA,CALIFORNIA,46.9,46.9,NP res inst
"FRIENDS RESEARCH INSTITUTE, INC.",BALTIMORE,MARYLAND,46.7,46.7,NP res inst
MONELL CHEMICAL SENSES CENTER,PHILADELPHIA,PENNSYLVANIA,46.7,46.7,NP res inst
DE PAUL UNIVERSITY,CHICAGO,ILLINOIS,46.5,46.5,Higher Ed
EASTERN VIRGINIA MEDICAL SCHOOL,NORFOLK,VIRGINIA,46.5,46.5,Higher Ed
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,46.5,46.5,Higher Ed
UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MISSISSIPPI,46.5,46.5,Higher Ed
ROSE-HULMAN INSTITUTE OF TECHNOLOGY,TERRE HAUTE,INDIANA,46.3,46.3,Higher Ed
CENTER FOR APPLIED LINGUISTICS,WASHINGTON,DIST OF COL,46,46,NP res inst
DELAWARE STATE UNIVERSITY,DOVER,DELAWARE,46,46,Higher Ed
EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TENNESSEE,46,46,Higher Ed
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,TALLAHASSEE,FLORIDA,46,46,Higher Ed
MIRIAM HOSPITAL,PROVIDENCE,RHODE ISLAND,46,46,Hosp
TEXAS A&M UNIVERSITY,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS A&M UNIVERSITY SYSTEM,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS AGRILIFE RESEARCH,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
TEXAS ENGINEERING EXPERIMENT STATION,COLLEGE STATION,TEXAS,46.5,46,Higher Ed
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CALIFORNIA,49,46,Higher Ed
WICHITA STATE UNIVERSITY,WICHITA,KANSAS,46,46,Higher Ed
WRIGHT STATE UNIVERSITY,DAYTON,OHIO,46,46,Higher Ed
CLEVELAND STATE UNIVERSITY,CLEVELAND,OHIO,42,45.5,Higher Ed
MEHARRY MEDICAL COLLEGE,NASHVILLE,TENNESSEE,46,45.5,Higher Ed
MONTGOMERY COLLEGE,ROCKVILLE,MARYLAND,45.5,45.5,Higher Ed
PORTLAND STATE UNIVERSITY,PORTLAND,OREGON,46,45.5,Higher Ed
UNIVERSITY OF NORTH CAROLINA WILMINGTON,WILMINGTON,NORTH CAROLINA,45.5,45.5,Higher Ed
UNIVERSITY OF IDAHO,MOSCOW,IDAHO,45.2,45.3,Higher Ed
MARSHALL UNIVERSITY,HUNTINGTON,WEST VIRGINIA,42,45.1,Higher Ed
ALABAMA STATE UNIVERSITY,MONTGOMERY,ALABAMA,45,45,Higher Ed
ALLAN HANCOCK COLLEGE,SANTA MARIA,CALIFORNIA,45,45,Higher Ed
BASTYR UNIVERSITY,KENMORE,WASHINGTON,42,45,Higher Ed
CALIFORNIA STATE POLY U POMONA,POMONA,CALIFORNIA,45,45,Higher Ed
CALIFORNIA STATE UNIVERSITY LOS ANGELES,LOS ANGELES,CALIFORNIA,45,45,Higher Ed
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,NORTHRIDGE,CALIFORNIA,45,45,Higher Ed
CHAMINADE UNIVERSITY OF HONOLULU,HONOLULU,HAWAII,45,45,Higher Ed
CHICAGO STATE UNIVERSITY,CHICAGO,ILLINOIS,45,45,Higher Ed
CHRISTIAN BROTHERS UNIVERSITY,MEMPHIS,TENNESSEE,45,45,Higher Ed
DILLARD UNIVERSITY,NEW ORLEANS,LOUISIANA,45,45,Higher Ed
DOMINICAN UNIVERSITY,SAN RAFAEL,CALIFORNIA,45,45,Higher Ed
FLORIDA INSTITUTE OF TECHNOLOGY,MELBOURNE,FLORIDA,45,45,Higher Ed
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FLORIDA,45,45,Higher Ed
LEWIS AND CLARK COLLEGE,PORTLAND,OREGON,45,45,Higher Ed
LOUISIANA STATE UNIV-UNIV OF NEW ORLEANS,NEW ORLEANS,LOUISIANA,45,45,Higher Ed
ROOSEVELT UNIVERSITY,CHICAGO,ILLINOIS,No Rate,45,Higher Ed
SOUTH DAKOTA STATE UNIVERSITY,BROOKINGS,SOUTH DAKOTA,45,45,Higher Ed
